Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
9.2189E+00,1.3450E+00,2.34E+12,1.39E+13,1.06E+12,2.94E+12,1s 2p2,2,1s2 2p,2,n
9.2223E+00,1.3440E+00,5.89E+12,1.39E+13,2.66E+12,7.41E+12,1s 2p2,2,1s2 2p,4,m
9.2355E+00,1.3430E+00,1.42E+12,8.60E+13,1.63E+11,5.59E+12,1s 2s 2p,4,1s2 2s,2,s
9.2360E+00,1.3420E+00,2.13E+12,8.30E+13,2.50E+11,4.15E+12,1s 2s 2p,2,1s2 2s,2,t
9.2844E+00,1.3350E+00,1.71E+13,4.80E+12,7.81E+12,1.50E+13,1s 2s 2p,4,1s2 2s,2,q
9.2863E+00,1.3350E+00,1.64E+13,7.76E+12,6.79E+12,1.05E+13,1s 2s 2p,2,1s2 2s,2,r
9.2947E+00,1.3340E+00,3.54E+12,1.07E+12,1.24E+12,5.29E+11,1s 2p2,4,1s2 2p,2,b
9.2980E+00,1.3340E+00,1.88E+13,6.00E+09,6.81E+12,8.18E+09,1s 2p2,2,1s2 2p,2,d
9.2982E+00,1.3330E+00,2.39E+13,1.07E+12,8.39E+12,3.58E+12,1s 2p2,4,1s2 2p,4,a
9.3015E+00,1.3330E+00,8.81E+12,6.00E+09,3.19E+12,3.83E+09,1s 2p2,2,1s2 2p,4,c
9.3161E+00,1.3310E+00,8.78E+12,1.24E+14,6.58E+11,3.26E+13,1s 2p2,4,1s2 2p,2,k
9.3196E+00,1.3300E+00,6.29E+11,1.24E+14,4.72E+10,2.34E+12,1s 2p2,4,1s2 2p,4,l
9.3206E+00,1.3300E+00,9.23E+12,1.25E+14,6.88E+11,5.16E+13,1s 2p2,6,1s2 2p,4,j
9.3822E+00,1.3220E+00,7.37E+07,1.00E+10,4.26E+10,1.70E+08,1s 2p2,4,1s2 2p,2,g
9.3838E+00,1.3210E+00,4.97E+09,1.53E+08,9.42E+12,2.88E+08,1s 2p2,2,1s2 2p,2,i
9.3840E+00,1.3210E+00,1.13E+10,1.56E+11,6.75E+11,6.31E+10,1s 2p2,6,1s2 2p,4,e
9.3858E+00,1.3210E+00,7.24E+09,1.00E+10,4.18E+12,1.67E+10,1s 2p2,4,1s2 2p,4,f
