n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,13,7.7579,1.60E+00,2.78E+00,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,13,7.796,1.59E+00,3.16E-01,1.50E+00,1.19E-01,3.55E-01,F,212,P,232,2
2,1,13,7.7996,1.59E+00,8.55E-01,1.50E+00,3.20E-01,9.59E-01,F,212,P,234,3
2,1,13,7.8072,1.59E+00,7.29E-03,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,13,7.8092,1.59E+00,1.88E-01,8.87E+00,2.08E-02,7.36E-01,C,234,S,212,5
2,1,13,7.8099,1.59E+00,3.18E-01,8.48E+00,3.61E-02,6.13E-01,C,232,S,212,6
2,1,13,7.8471,1.58E+00,2.43E+00,4.34E-01,8.49E-01,1.47E+00,K,234,S,212,7
2,1,13,7.849,1.58E+00,2.31E+00,8.20E-01,7.38E-01,1.21E+00,K,232,S,212,8
2,1,13,7.8547,1.58E+00,4.64E-01,1.74E-01,1.14E-01,7.98E-02,M,234,P,232,9
2,1,13,7.8581,1.58E+00,2.68E+00,1.11E-03,6.85E-01,1.52E-03,M,232,P,232,10
2,1,13,7.8583,1.58E+00,3.42E+00,1.74E-01,8.43E-01,5.88E-01,M,234,P,234,11
2,1,13,7.8617,1.58E+00,1.23E+00,1.11E-03,3.15E-01,6.96E-04,M,232,P,234,12
2,1,13,7.872,1.58E+00,1.28E+00,1.28E+01,9.08E-02,4.63E+00,F,254,P,232,13
2,1,13,7.8725,1.57E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,14
2,1,13,7.8756,1.57E+00,6.47E-02,1.28E+01,4.59E-03,2.34E-01,F,254,P,234,15
2,1,13,7.8764,1.57E+00,1.31E+00,1.29E+01,9.18E-02,7.12E+00,F,256,P,234,16
2,1,13,7.9246,1.56E+00,1.24E-05,1.75E-03,3.69E-03,2.58E-05,M,434,P,232,17
2,1,13,7.9262,1.56E+00,1.17E-03,3.42E-05,9.42E-01,6.45E-05,M,432,P,232,18
2,1,13,7.9264,1.56E+00,2.62E-03,2.64E-02,9.03E-02,1.43E-02,M,436,P,234,19
2,1,13,7.9283,1.56E+00,1.61E-03,1.75E-03,4.78E-01,3.34E-03,M,434,P,234,20
2,1,13,7.9299,1.56E+00,3.72E-05,3.42E-05,3.00E-02,2.05E-06,M,432,P,234,21
2,1,13,7.9323,1.56E+00,1.57E-03,6.49E-04,7.07E-01,1.84E-03,K,434,S,212,22
2,1,13,7.9333,1.56E+00,5.95E-04,7.88E-05,8.83E-01,1.39E-04,K,432,S,212,23
2,1,13,8.0764,1.54E+00,4.17E-02,1.26E+01,3.28E-03,8.27E-02,E,212,P,232,24
2,1,13,8.0802,1.53E+00,7.68E-02,1.26E+01,6.03E-03,1.52E-01,E,212,P,234,25
2,1,14,6.6484,1.86E+00,3.80E+00,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,14,6.6783,1.86E+00,4.12E-01,1.59E+00,1.28E-01,4.09E-01,F,212,P,232,2
2,1,14,6.682,1.86E+00,1.21E+00,1.59E+00,3.76E-01,1.20E+00,F,212,P,234,3
2,1,14,6.6884,1.85E+00,1.52E-02,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,14,6.6891,1.85E+00,2.39E-01,9.10E+00,2.56E-02,9.32E-01,C,234,S,212,5
