Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d9.4s.(3D).4d""","=""2D""","=""5/2""",6,"=""""","=""8.815053""","=""""",
"=""3d9.4s.(3D).4d""","=""2F""","=""7/2""",8,"=""""","=""8.818726""","=""""",
"=""3d9.4s.(3D).4d""","=""4G""","=""11/2""",12,"=""""","=""8.819080""","=""""",
"=""3d9.4s.(3D).4d""","=""4P""","=""5/2""",6,"=""""","=""8.824970""","=""""",
"=""3d9.4s.(3D).4d""","=""4D""","=""7/2""",8,"=""""","=""8.836134""","=""""",
"=""3d9.4s.(3D).4d""","=""4F""","=""9/2""",10,"=""""","=""8.838904""","=""""",
"=""3d9.4s.(3D).5p""","=""2F*""","=""7/2""",8,"=""""","=""8.879001""","=""""",
"=""3d9.4s.(3D).5p""","=""2D*""","=""5/2""",6,"=""""","=""8.895317""","=""""",
"=""3d9.4s.(3D).4d""","=""4P""","=""1/2""",2,"=""""","=""8.912346""","=""""",
"=""3d9.4s.(3D).5p""","=""2P*""","=""3/2""",4,"=""""","=""8.91670""","=""""",
"=""3d9.4s.(3D).4d""","=""4P""","=""3/2""",4,"=""""","=""8.917846""","=""""",
"=""3d9.4s.(3D).5p""","=""*""","=""3/2""",4,"=""""","=""8.92050""","=""""",
"=""3d9.4s.(3D).4d""","=""4G""","=""9/2""",10,"=""""","=""8.924220""","=""""",
"=""3d9.4s.(3D).4d""","=""2G""","=""7/2""",8,"=""""","=""8.928948""","=""""",
"=""3d9.4s.(3D).5p""","=""2D*""","=""3/2""",4,"=""""","=""8.929880""","=""""",
"=""3d9.4s.(3D).4d""","=""4D""","=""5/2""",6,"=""""","=""8.935167""","=""""",
"=""3d9.4s.(3D).4d""","=""4F""","=""7/2""",8,"=""""","=""8.938404""","=""""",
"=""3d9.4s.(3D).4d""","=""2D""","=""3/2""",4,"=""""","=""8.939879""","=""""",
"=""3d9.4s.(3D).4d""","=""2F""","=""5/2""",6,"=""""","=""8.945607""","=""""",
"=""3d9.4s.(3D).4d""","=""2P""","=""1/2""",2,"=""""","=""8.945645""","=""""",
"=""3d9.4s.(3D).5p""","=""4D*""","=""1/2""",2,"=""""","=""9.00145""","=""""",
"=""3d9.4s.(3D).5p""","=""2P*""","=""1/2""",2,"=""""","=""9.01835""","=""""",
"=""3d9.4s.(3D).4d""","=""4G""","=""7/2""",8,"=""""","=""9.063585""","=""""",
"=""3d9.4s.(3D).4d""","=""4D""","=""3/2""",4,"=""""","=""9.063852""","=""""",
"=""3d9.4s.(3D).4d""","=""4G""","=""5/2""",6,"=""""","=""9.075491""","=""""",
"=""3d9.4s.(3D).4d""","=""4F""","=""5/2""",6,"=""""","=""9.088620""","=""""",
"=""3d9.4s.(3D).4d""","=""4F""","=""3/2""",4,"=""""","=""9.090086""","=""""",
"=""3d9.4s.(3D).6s""","=""4D""","=""7/2""",8,"=""""","=""9.174217""","=""""",
"=""3d9.4s.(1D).5p""","=""2P*""","=""3/2""",4,"=""""","=""9.20698""","=""""",
"=""3d9.4s.(3D).6s""","=""4D""","=""5/2""",6,"=""""","=""9.213650""","=""""",
"=""3d9.4s.(1D).5p""","=""2F*""","=""7/2""",8,"=""""","=""9.217236""","=""""",
"=""3d9.4s.(1D).5p""","=""2D*""","=""3/2,5/2""",10,"=""""","=""9.237791""","=""""",
"=""3d9.4s.(1D).5p""","=""2F*""","=""5/2""",6,"=""""","=""9.289453""","=""""",
"=""3d9.4s.(3D).6s""","=""4D""","=""3/2""",4,"=""""","=""9.304224""","=""""",
"=""3d9.4s.(1D).5p""","=""2P*""","=""1/2""",2,"=""""","=""9.310131""","=""""",
"=""3d9.4s.(1D).4d""","=""2P""","=""1/2""",2,"=""""","=""9.312387""","=""""",
"=""3d9.4s.(3D).6s""","=""2D""","=""5/2""",6,"=""""","=""9.319921""","=""""",
"=""3d9.4s.(1D).4d""","=""2G""","=""7/2""",8,"=""""","=""9.32439""","=""""",
"=""3d9.4s.(1D).4d""","=""2P""","=""3/2""",4,"=""""","=""9.331485""","=""""",
"=""3d9.4s.(1D).4d""","=""2G""","=""9/2""",10,"=""""","=""9.34171""","=""""",
"=""3d9.4s.(1D).4d""","=""2S""","=""1/2""",2,"=""""","=""9.34670""","=""""",
"=""3d9.4s.(1D).4d""","=""2D""","=""3/2""",4,"=""""","=""9.353390""","=""""",
"=""3d9.4s.(1D).4d""","=""2D""","=""5/2""",6,"=""""","=""9.354195""","=""""",
"=""3d9.4s.(1D).4d""","=""2F""","=""5/2""",6,"=""""","=""9.365294""","=""""",
"=""3d9.4s.(1D).4d""","=""2F""","=""7/2""",8,"=""""","=""9.369838""","=""""",
"=""3d9.4s.(3D).6s""","=""4D""","=""1/2""",2,"=""""","=""9.430786""","=""""",
"=""3d9.4s.(3D).6s""","=""2D""","=""3/2""",4,"=""""","=""9.464002""","=""""",
"=""3d9.4s.(3D).5d""","=""2G""","=""9/2""",10,"=""""","=""9.52503""","=""""",
"=""3d9.4s.(3D).5d""","=""2P""","=""3/2""",4,"=""""","=""9.52587""","=""""",
"=""3d9.4s.(3D).6p""","=""4P*""","=""3/2""",4,"=""""","=""9.53600""","=""""",
"=""3d9.4s.(3D).5d""","=""2D""","=""5/2""",6,"=""""","=""9.540515""","=""""",
"=""3d9.4s.(3D).5d""","=""4S""","=""3/2""",4,"=""""","=""9.54170""","=""""",
"=""3d9.4s.(3D).5d""","=""2F""","=""7/2""",8,"=""""","=""9.541852""","=""""",
"=""3d9.4s.(3D).5d""","=""4G""","=""11/2""",12,"=""""","=""9.54854""","=""""",
"=""3d9.4s.(3D).5d""","=""4P""","=""5/2""",6,"=""""","=""9.550539""","=""""",
"=""3d9.4s.(3D).5d""","=""4D""","=""7/2""",8,"=""""","=""9.555230""","=""""",
"=""3d9.4s.(3D).5d""","=""4F""","=""9/2""",10,"=""""","=""9.556763""","=""""",
"=""3d9.4s.(3D<3>).4f""","=""*""","=""1/2,3/2""",6,"=""""","=""9.58235""","=""""",
"=""3d9.4s.(3D<3>).4f""","=""*""","=""1/2,3/2""",6,"=""""","=""9.58362""","=""""",
"=""3d9.4s.(3D<2>).4f""","=""*""","=""1/2,3/2""",6,"=""""","=""9.62401""","=""""",
"=""3d9.4s.(3D).6p""","=""4P*""","=""1/2""",2,"=""""","=""9.63149""","=""""",
"=""3d9.4s.(3D).5d""","=""4P""","=""1/2""",2,"=""""","=""9.64779""","=""""",
"=""3d9.4s.(3D).5d""","=""4P""","=""3/2""",4,"=""""","=""9.651066""","=""""",
"=""3d9.4s.(3D).5d""","=""4G""","=""9/2""",10,"=""""","=""9.652658""","=""""",
