Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(4F).4p""","=""5F*""","=""3""",7,"=""""","=""39.00069""","=""""",
"=""3d5.(4F).4p""","=""5F*""","=""4""",9,"=""""","=""39.00532""","=""""",
"=""3d5.(2F1).4p""","=""3G*""","=""5""",11,"=""""","=""39.01811""","=""""",
"=""3d5.(4F).4p""","=""5G*""","=""6""",13,"=""""","=""39.02488""","=""""",
"=""3d5.(4F).4p""","=""5F*""","=""2""",5,"=""""","=""39.03442""","=""""",
"=""3d5.(4F).4p""","=""5F*""","=""1""",3,"=""""","=""39.07388""","=""""",
"=""3d5.(4F).4p""","=""5F*""","=""5""",11,"=""""","=""39.07597""","=""""",
"=""3d5.(2F1).4p""","=""3D*""","=""1""",3,"=""""","=""39.09240""","=""""",
"=""3d5.(2D3).4p""","=""1F*""","=""3""",7,"=""""","=""39.09537""","=""""",
"=""3d5.(2F1).4p""","=""3D*""","=""2""",5,"=""""","=""39.10028""","=""""",
"=""3d5.(2G2).4p""","=""3H*""","=""4""",9,"=""""","=""39.10099""","=""""",
"=""3d5.(2H).4p""","=""3H*""","=""5""",11,"=""""","=""39.17778""","=""""",
"=""3d5.(2F1).4p""","=""3G*""","=""4""",9,"=""""","=""39.18762""","=""""",
"=""3d5.(2F1).4p""","=""3F*""","=""2""",5,"=""""","=""39.19946""","=""""",
"=""3d5.(2F1).4p""","=""3F*""","=""3""",7,"=""""","=""39.21381""","=""""",
"=""3d5.(2H).4p""","=""3G*""","=""5""",11,"=""""","=""39.26901""","=""""",
"=""3d5.(4F).4p""","=""5D*""","=""4""",9,"=""""","=""39.27117""","=""""",
"=""3d5.(2H).4p""","=""3G*""","=""4""",9,"=""""","=""39.28920""","=""""",
"=""3d5.(4F).4p""","=""5D*""","=""3""",7,"=""""","=""39.33177""","=""""",
"=""3d5.(2H).4p""","=""3H*""","=""6""",13,"=""""","=""39.34366""","=""""",
"=""3d5.(2H).4p""","=""3G*""","=""3""",7,"=""""","=""39.34956""","=""""",
"=""3d5.(4F).4p""","=""5D*""","=""0""",1,"=""""","=""39.36017""","=""""",
"=""3d5.(4F).4p""","=""5D*""","=""1""",3,"=""""","=""39.36226""","=""""",
"=""3d5.(4F).4p""","=""5D*""","=""2""",5,"=""""","=""39.36710""","=""""",
"=""3d5.(2D3).4p""","=""1P*""","=""1""",3,"=""""","=""39.56003""","=""""",
"=""3d5.(2H).4p""","=""3I*""","=""5""",11,"=""""","=""39.56062""","=""""",
"=""3d5.(2G2).4p""","=""1G*""","=""4""",9,"=""""","=""39.56823""","=""""",
"=""3d5.(4F).4p""","=""3G*""","=""3""",7,"=""""","=""39.62783""","=""""",
"=""3d5.(4F).4p""","=""3G*""","=""5""",11,"=""""","=""39.63192""","=""""",
