Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""4""",9,"=""""","=""10.888299""","=""""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",7,"=""""","=""10.889159""","=""""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",5,"=""""","=""10.889166""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[9/2]*""","=""4""",9,"=""""","=""10.8894649""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[9/2]*""","=""5""",11,"=""""","=""10.8894664""","=""""",
"=""2s2.2p.6d""","=""1P*""","=""1""",3,"=""""","=""10.889554""","=""""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""",11,"=""[""","=""10.88969""","=""]""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[9/2]""","=""4""",9,"=""[""","=""10.88972""","=""]""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[7/2]*""","=""3""",7,"=""""","=""10.8898224""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[7/2]*""","=""4""",9,"=""""","=""10.8898233""","=""""",
"=""2s2.2p.6d""","=""3P*""","=""2""",5,"=""""","=""10.889851""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[11/2]""","=""5""",11,"=""""","=""10.8899154""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[11/2]""","=""6""",13,"=""""","=""10.8899156""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[9/2]""","=""5""",11,"=""""","=""10.8900234""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[9/2]""","=""4""",9,"=""""","=""10.8900234""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[11/2]*""","=""6""",13,"=""""","=""10.89023131""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[11/2]*""","=""5""",11,"=""""","=""10.8902317""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[13/2]""","=""6""",13,"=""""","=""10.8902823""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[13/2]""","=""7""",15,"=""""","=""10.8902826""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[7/2]""","=""3""",7,"=""""","=""10.8904168""","=""""",
"=""2s2.2p.(2P*<3/2>).6h""","=""2[7/2]""","=""4""",9,"=""""","=""10.8904169""","=""""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",3,"=""""","=""10.890494""","=""""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",5,"=""""","=""10.890494""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[5/2]*""","=""3""",7,"=""""","=""10.8905002""","=""""",
"=""2s2.2p.(2P*<3/2>).6g""","=""2[5/2]*""","=""2""",5,"=""""","=""10.8905002""","=""""",
"=""2s2.2p.6d""","=""3P*""","=""1""",3,"=""""","=""10.891259""","=""""",
"=""2s2.2p.6d""","=""3P*""","=""0""",1,"=""""","=""10.89140""","=""""",
"=""2s2.2p.7p""","=""1P""","=""1""",3,"=""""","=""10.918215""","=""""",
"=""2s2.2p.7p""","=""3D""","=""1""",3,"=""""","=""10.922016""","=""""",
"=""2s2.2p.7p""","=""3D""","=""2""",5,"=""""","=""10.922519""","=""""",
"=""2s2.2p.7p""","=""3D""","=""3""",7,"=""""","=""10.927451""","=""""",
"=""2s2.2p.7p""","=""3P""","=""0""",1,"=""""","=""10.930438""","=""""",
"=""2s2.2p.7p""","=""3P""","=""1""",3,"=""""","=""10.934457""","=""""",
"=""2s2.2p.7p""","=""3P""","=""2""",5,"=""""","=""10.935183""","=""""",
"=""2s2.2p.7p""","=""1D""","=""2""",5,"=""""","=""10.942892""","=""""",
"=""2s2.2p.7p""","=""1S""","=""0""",1,"=""""","=""10.952019""","=""""",
"=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""2""",5,"=""""","=""10.972432""","=""""",
"=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",5,"=""""","=""10.97799""","=""""",
"=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",1,"=""""","=""10.978030""","=""""",
"=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",7,"=""""","=""10.978183""","=""""",
"=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",3,"=""""","=""10.9786886""","=""""",
"=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",3,"=""""","=""10.979870""","=""""",
"=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""3""",7,"=""""","=""10.981887""","=""""",
"=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""2""",5,"=""""","=""10.981888""","=""""",
"=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""4""",9,"=""""","=""10.981945""","=""""",
"=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""3""",7,"=""""","=""10.981945""","=""""",
"=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",5,"=""""","=""10.983051""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""",9,"=""[""","=""10.984525""","=""]""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",5,"=""""","=""10.985590""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",7,"=""""","=""10.985784""","=""""",
"=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",3,"=""""","=""10.986862""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",7,"=""""","=""10.988102""","=""""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""3""",7,"=""""","=""10.989219""","=""""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",9,"=""""","=""10.989230""","=""""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[5/2]""","=""3""",7,"=""""","=""10.989751""","=""""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",5,"=""""","=""10.989751""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",3,"=""""","=""10.989834""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",5,"=""""","=""10.98985""","=""""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",11,"=""[""","=""10.99013""","=""]""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[9/2]""","=""4""",9,"=""[""","=""10.99015""","=""]""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",5,"=""""","=""10.990624""","=""""",
"=""2s2.2p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",3,"=""""","=""10.990625""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",3,"=""""","=""10.99081""","=""""",
"=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",1,"=""""","=""10.99100""","=""""",
"=""2s2.2p.(2P*<1/2>).8p""","=""2[3/2]""","=""1""",3,"=""""","=""11.005709""","=""""",
"=""2s2.2p.(2P*<1/2>).8p""","=""2[1/2]""","=""2""",5,"=""[""","=""11.0084""","=""]""",
"=""2s2.2p.(2P*<1/2>).8p""","=""2[1/2]""","=""1""",3,"=""""","=""11.008664""","=""""",
"=""2s2.2p.(2P*<3/2>).8p""","=""2[5/2]""","=""3""",7,"=""""","=""11.014279""","=""""",
"=""2s2.2p.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",5,"=""""","=""11.018972""","=""""",
"=""2s2.2p.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",5,"=""""","=""11.023878""","=""""",
"=""2s2.2p.(2P*<3/2>).8p""","=""2[1/2]""","=""0""",1,"=""""","=""11.029715""","=""""",
"=""2s2.2p.(2P*<1/2>).8d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.041310""","=""""",
"=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.0447""","=""""",
"=""2s2.2p.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.044716""","=""""",
"=""2s2.2p.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.044755""","=""""",
"=""2s2.2p.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.045181""","=""""",
"=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.045907""","=""""",
"=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""2""",5,"=""""","=""11.047216""","=""""",
"=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""3""",7,"=""""","=""11.047219""","=""""",
"=""2s2.2p.(2P*<1/2>).8f""","=""2[7/2]""","=""4""",9,"=""""","=""11.047224""","=""""",
"=""2s2.2p.(2P*<1/2>).8f""","=""2[7/2]""","=""3""",7,"=""""","=""11.047224""","=""""",
"=""2s2.2p.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",5,"=""""","=""11.04971""","=""""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""",9,"=""[""","=""11.051527""","=""]""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.052284""","=""""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.052451""","=""""",
"=""2s2.2p.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",3,"=""""","=""11.053111""","=""""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.053899""","=""""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[7/2]""","=""4""",9,"=""""","=""11.054698""","=""""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[7/2]""","=""3""",7,"=""""","=""11.054698""","=""""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.05475""","=""""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.055019""","=""""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[5/2]""","=""3""",7,"=""[""","=""11.055041""","=""]""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[5/2]""","=""2""",5,"=""[""","=""11.055041""","=""]""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[9/2]""","=""5""",11,"=""[""","=""11.05532""","=""]""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[9/2]""","=""4""",9,"=""[""","=""11.05532""","=""]""",
"=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",1,"=""""","=""11.05557""","=""""",
"=""2s2.2p.(2P*<3/2>).8f""","=""2[3/2]""","=""1""",3,"=""[""","=""11.05566""","=""]""",
