Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(6S).6p""","=""w 7P*""","=""2""",5,"=""""","=""5.91387""","=""""",
"=""3d5.(6S).5d""","=""g 7D""","=""1""",3,"=""""","=""5.91406""","=""""",
"=""3d5.(6S).5d""","=""g 7D""","=""2""",5,"=""""","=""5.9141585""","=""""",
"=""3d5.(6S).5d""","=""g 7D""","=""3""",7,"=""""","=""5.9143426""","=""""",
"=""3d5.(6S).5d""","=""g 7D""","=""4""",9,"=""""","=""5.91462""","=""""",
"=""3d5.(6S).6p""","=""w 7P*""","=""3""",7,"=""""","=""5.915082""","=""""",
"=""3d5.(6S).5d""","=""g 7D""","=""5""",11,"=""""","=""5.9152673""","=""""",
"=""3d5.(6S).6p""","=""w 7P*""","=""4""",9,"=""""","=""5.916424""","=""""",
"=""3d5.(4P).4p""","=""v 5D*""","=""1""",3,"=""""","=""5.92300663""","=""""",
"=""3d5.(4P).4p""","=""v 5D*""","=""2""",5,"=""""","=""5.92472080""","=""""",
"=""3d5.(4P).4p""","=""v 5D*""","=""0""",1,"=""""","=""5.9249560""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""5""",11,"=""""","=""5.9256654""","=""""",
"=""3d5.(4P).4p""","=""v 5D*""","=""3""",7,"=""""","=""5.92822786""","=""""",
"=""3d5.(4P).4p""","=""v 5D*""","=""4""",9,"=""""","=""5.93468472""","=""""",
