 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    177  7  6  340   8 2s2 2p 8h       -6.24976E-02  2.11525E+00 27.0
    178  7  6  140   8 2s2 2p 8h       -6.24934E-02  2.11526E+00  9.0
    179  7  6  331  10 2s2 2p 8g       -6.24915E-02  2.11526E+00 21.0
    180  7  6  131  10 2s2 2p 8g       -6.24778E-02  2.11527E+00  7.0
    181  7  6  120  13 2s2 2p 8f       -6.24710E-02  2.11528E+00  5.0
    182  7  6  111  13 2s2 2p 8d       -6.24658E-02  2.11528E+00  3.0
    183  7  6  311  14 2s2 2p 8d       -6.21962E-02  2.11555E+00  9.0
    184  7  6  311  15 2s2 2p 9s       -5.83170E-02  2.11943E+00  9.0
    185  7  6  111  14 2s2 2p 9s       -5.82984E-02  2.11945E+00  3.0
    186  7  6  110   7 2s2 2p 9p       -5.55866E-02  2.12216E+00  3.0
    187  7  6  320  12 2s2 2p 9p       -5.53053E-02  2.12244E+00 15.0
    188  7  6  300   7 2s2 2p 9p       -5.48795E-02  2.12287E+00  3.0
    189  7  6  310  10 2s2 2p 9p       -5.40633E-02  2.12369E+00  9.0
    190  7  6  120  14 2s2 2p 9p       -5.36425E-02  2.12411E+00  5.0
    191  7  6  100   8 2s2 2p 9p       -5.24982E-02  2.12525E+00  1.0
    192  7  6  331  11 2s2 2p 9d       -5.07388E-02  2.12701E+00 21.0
    193  7  6  121   8 2s2 2p 9d       -5.05805E-02  2.12717E+00  5.0
    194  7  6  321   9 2s2 2p 9d       -5.00297E-02  2.12772E+00 15.0
    195  7  6  311  16 2s2 2p 9d       -4.96971E-02  2.12805E+00  9.0
    196  7  6  130   6 2s2 2p 9f       -4.96545E-02  2.12810E+00  7.0
    197  7  6  330   6 2s2 2p 9f       -4.96414E-02  2.12811E+00 21.0
    198  7  6  131  11 2s2 2p 9d       -4.95538E-02  2.12820E+00  7.0
    199  7  6  340   9 2s2 2p 9f       -4.94735E-02  2.12828E+00 27.0
    200  7  6  140   9 2s2 2p 9f       -4.94248E-02  2.12833E+00  9.0
    201  7  6  141   5 2s2 2p 9g       -4.94199E-02  2.12833E+00  9.0
    202  7  6  341   5 2s2 2p 9g       -4.94197E-02  2.12833E+00 27.0
    203  7  6  320  13 2s2 2p 9f       -4.93971E-02  2.12835E+00 15.0
    204  7  6  350   4 2s2 2p 9h       -4.93859E-02  2.12836E+00 33.0
    205  7  6  150   4 2s2 2p 9h       -4.93859E-02  2.12836E+00 11.0
    206  7  6  360   4 2s2 2p 9h       -4.93838E-02  2.12837E+00 39.0
    207  7  6  160   4 2s2 2p 9h       -4.93838E-02  2.12837E+00 13.0
    208  7  6  161   3 2s2 2p 9i       -4.93828E-02  2.12837E+00 13.0
    209  7  6  361   3 2s2 2p 9i       -4.93828E-02  2.12837E+00 39.0
    210  7  6  351   8 2s2 2p 9g       -4.93822E-02  2.12837E+00 33.0
    211  7  6  351   7 2s2 2p 9i       -4.93822E-02  2.12837E+00 33.0
    212  7  6  151   7 2s2 2p 9g       -4.93822E-02  2.12837E+00 11.0
    213  7  6  151   8 2s2 2p 9i       -4.93821E-02  2.12837E+00 11.0
    214  7  6  340  10 2s2 2p 9h       -4.93808E-02  2.12837E+00 27.0
    215  7  6  140  10 2s2 2p 9h       -4.93774E-02  2.12837E+00  9.0
    216  7  6  331  12 2s2 2p 9g       -4.93763E-02  2.12837E+00 21.0
    217  7  6  131  12 2s2 2p 9g       -4.93664E-02  2.12838E+00  7.0
    218  7  6  120  15 2s2 2p 9f       -4.93662E-02  2.12838E+00  5.0
    219  7  6  111  15 2s2 2p 9d       -4.93620E-02  2.12839E+00  3.0
    220  7  6  311  17 2s2 2p10s       -4.66769E-02  2.13107E+00  9.0
    221  7  6  111  16 2s2 2p10s       -4.64139E-02  2.13134E+00  3.0
    222  7  6  110   8 2s2 2p10p       -4.44763E-02  2.13327E+00  3.0
    223  7  6  320  14 2s2 2p10p       -4.42796E-02  2.13347E+00 15.0
    224  7  6  300   8 2s2 2p10p       -4.39704E-02  2.13378E+00  3.0
    225  7  6  310  11 2s2 2p10p       -4.34042E-02  2.13435E+00  9.0
    226  7  6  120  16 2s2 2p10p       -4.30887E-02  2.13466E+00  5.0
    227  7  6  100   9 2s2 2p10p       -4.22573E-02  2.13549E+00  1.0
    228  7  6  331  13 2s2 2p10d       -4.09903E-02  2.13676E+00 21.0
    229  7  6  121   9 2s2 2p10d       -4.08772E-02  2.13687E+00  5.0
    230  7  6  321  10 2s2 2p10d       -4.04904E-02  2.13726E+00 15.0
    231  7  6  311  18 2s2 2p10d       -4.02994E-02  2.13745E+00  9.0
    232  7  6  130   7 2s2 2p10f       -4.02012E-02  2.13755E+00  7.0
    233  7  6  330   7 2s2 2p10f       -4.01914E-02  2.13756E+00 21.0
    234  7  6  131  13 2s2 2p10d       -4.01258E-02  2.13762E+00  7.0
    235  7  6  340  11 2s2 2p10f       -4.00688E-02  2.13768E+00 27.0
    236  7  6  140  11 2s2 2p10f       -4.00322E-02  2.13772E+00  9.0
    237  7  6  141   6 2s2 2p10g       -4.00286E-02  2.13772E+00  9.0
