 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    293  6  6  301   6 2s2p2(4PE) 7p    3.54460E-01  1.20092E+00  3.0
    294  6  6  501   6 2s2p2(4PE) 7p    3.54809E-01  1.20127E+00  5.0
    295  6  6  530   7 2s2p2(4PE) 7d    3.57982E-01  1.20444E+00 35.0
    296  6  6  510  10 2s2p2(4PE) 8s    3.58057E-01  1.20452E+00 15.0
    297  6  6  520   5 2s2p2(4PE) 7d    3.58330E-01  1.20479E+00 25.0
    298  6  6  510  11 2s2p2(4PE) 7d    3.58338E-01  1.20480E+00 15.0
    299  6  6  521   9 2s2p2(4PE) 7f    3.58531E-01  1.20499E+00 25.0
    300  6  6  541   5 2s2p2(4PE) 7f    3.58561E-01  1.20502E+00 45.0
    301  6  6  530   8 2s2p2(4PE) 7g    3.58585E-01  1.20505E+00 35.0
    302  6  6  550   4 2s2p2(4PE) 7i    3.58600E-01  1.20506E+00 55.0
    303  6  6  550   3 2s2p2(4PE) 7g    3.58600E-01  1.20506E+00 55.0
    304  6  6  551   2 2s2p2(4PE) 7h    3.58602E-01  1.20506E+00 55.0
    305  6  6  541   6 2s2p2(4PE) 7h    3.58602E-01  1.20506E+00 45.0
    306  6  6  540   3 2s2p2(4PE) 7g    3.58619E-01  1.20508E+00 45.0
    307  6  6  531   4 2s2p2(4PE) 7f    3.58665E-01  1.20513E+00 35.0
    308  6  6  521  10 2s2p2(4PE) 8p    3.60271E-01  1.20673E+00 25.0
    309  6  6  511   6 2s2p2(4PE) 8p    3.60450E-01  1.20691E+00 15.0
    310  6  6  301   7 2s2p2(4PE) 8p    3.60641E-01  1.20710E+00  3.0
    311  6  6  501   7 2s2p2(4PE) 8p    3.60897E-01  1.20736E+00  5.0
    312  6  6  530   9 2s2p2(4PE) 8d    3.62966E-01  1.20943E+00 35.0
    313  6  6  510  12 2s2p2(4PE) 9s    3.63021E-01  1.20948E+00 15.0
    314  6  6  520   6 2s2p2(4PE) 8d    3.63198E-01  1.20966E+00 25.0
    315  6  6  510  13 2s2p2(4PE) 8d    3.63209E-01  1.20967E+00 15.0
    316  6  6  521  11 2s2p2(4PE) 8f    3.63336E-01  1.20980E+00 25.0
    317  6  6  541   7 2s2p2(4PE) 8f    3.63356E-01  1.20982E+00 45.0
    318  6  6  530  10 2s2p2(4PE) 8g    3.63372E-01  1.20983E+00 35.0
    319  6  6  550   6 2s2p2(4PE) 8i    3.63383E-01  1.20984E+00 55.0
    320  6  6  550   5 2s2p2(4PE) 8g    3.63383E-01  1.20984E+00 55.0
    321  6  6  541   8 2s2p2(4PE) 8h    3.63384E-01  1.20985E+00 45.0
    322  6  6  551   3 2s2p2(4PE) 8h    3.63385E-01  1.20985E+00 55.0
