    335.65?         S VIII  E1 2s2.2p4.(1S).3p-2s2.2p4.(3P).4s 2Po-2P   2 - 4  7.195e+07 2.430e-03     3 223.976000 - 260.91500? 063,ASD
    345.41          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Po-2D   6 - 4  1.351e+04 1.611e-07    16 206.246100 - 242.141000 063
    346.48          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Po-2D   6 - 6  1.477e+05 2.658e-06    16 206.246100 - 242.031000 063
    347.39          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Po-2D   4 - 4  2.153e+04 3.895e-07    16 206.451400 - 242.141000 063
    348.47          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Po-2D   4 - 6  6.955e+04 1.899e-06    16 206.451400 - 242.031000 063
    350.83          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Po-2D   2 - 4  2.614e+03 9.647e-08    16 206.801500 - 242.141000 063
    363.43          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Do-2D   8 - 6  6.364e+03 9.451e-08    16 207.915800 - 242.031000 063
    366.19          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Do-2D   6 - 4  4.828e+05 6.471e-06    16 208.283500 - 242.141000 063
    367.39          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Do-2D   6 - 6  3.330e+06 6.739e-05    16 208.283500 - 242.031000 063
    370.62          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Do-2D   4 - 4  1.268e+06 2.611e-05    16 208.688400 - 242.141000 063
    371.86          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Do-2D   4 - 6  9.289e+04 2.888e-06    16 208.688400 - 242.031000 063
    372.66          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4Do-2D   2 - 4  3.153e+02 1.313e-08    16 208.871200 - 242.141000 063
    378.37          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Do-2D   6 - 4  2.068e+06 2.959e-05    16 209.373500 - 242.141000 063
