 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    209 26 24  510   5 3d5(4F3) 4d     -4.13916E-01  1.72318E+00 15.0
    210 26 24  331  11 3d5(4G5) 5p     -4.13137E-01  1.72396E+00 21.0
    211 26 24  160   4 3d5(2I5) 4d     -4.12652E-01  1.72445E+00 13.0
    212 26 24  540   5 3d5(4F3) 4d     -4.12554E-01  1.72455E+00 45.0
    213 26 24  311   7 3d5(2D1) 4p     -4.10766E-01  1.72633E+00  9.0
    214 26 24  330  10 3d5(2F3) 4d     -4.10361E-01  1.72674E+00 21.0
    215 26 24  131   7 3d5(2D1) 4p     -4.09618E-01  1.72748E+00  7.0
    216 26 24  130   5 3d5(2F3) 4d     -4.09311E-01  1.72779E+00  7.0
    217 26 24  341   8 3d5(4G5) 5p     -4.05661E-01  1.73144E+00 27.0
    218 26 24  320  12 3d5(4F3) 4d     -4.02760E-01  1.73434E+00 15.0
    219 26 24  501   2 3d5(4P3) 5p     -3.99890E-01  1.73721E+00  5.0
    220 26 24  340  11 3d5(4F3) 4d     -3.99520E-01  1.73758E+00 27.0
    221 26 24  320  13 3d5(2D5) 5s     -3.98830E-01  1.73827E+00 15.0
    222 26 24  521   4 3d5(4P3) 5p     -3.98295E-01  1.73881E+00 25.0
    223 26 24  140   7 3d5(2F3) 4d     -3.96826E-01  1.74027E+00  9.0
    224 26 24  350   6 3d5(4F3) 4d     -3.96345E-01  1.74075E+00 33.0
    225 26 24  511   6 3d5(4P3) 5p     -3.94786E-01  1.74231E+00 15.0
    226 26 24  530   6 3d5(4F3) 5s     -3.92427E-01  1.74467E+00 35.0
    227 26 24  330  11 3d5(2F3) 5s     -3.91521E-01  1.74558E+00 21.0
    228 26 24  120   7 3d5(2D5) 5s     -3.91054E-01  1.74605E+00  5.0
    229 26 24  311   8 3d5(4P3) 5p     -3.88237E-01  1.74886E+00  9.0
    230 26 24  130   6 3d5(2F3) 5s     -3.85834E-01  1.75127E+00  7.0
    231 26 24  321  10 3d5(4P3) 5p     -3.83287E-01  1.75381E+00 15.0
    232 26 24  360   5 3d5(2H3) 4d     -3.82359E-01  1.75474E+00 39.0
    233 26 24  330  12 3d5(4F3) 4d     -3.80876E-01  1.75622E+00 21.0
    234 26 24  520   9 3d5(4F3) 4d     -3.80735E-01  1.75636E+00 25.0
    235 26 24  310   9 3d5(4F3) 4d     -3.79518E-01  1.75758E+00  9.0
    236 26 24  330  13 3d5(4F3) 5s     -3.76249E-01  1.76085E+00 21.0
    237 26 24  120   8 3d5(2F3) 4d     -3.76066E-01  1.76103E+00  5.0
    238 26 24  301   3 3d5(4P3) 5p     -3.75651E-01  1.76145E+00  3.0
    239 26 24  130   7 3d5(2H3) 4d     -3.75442E-01  1.76166E+00  7.0
    240 26 24  150   4 3d5(2H3) 4d     -3.73428E-01  1.76367E+00 11.0
    241 26 24  111   5 3d5(2D1) 4p     -3.73022E-01  1.76408E+00  3.0
    242 26 24  370   2 3d5(2H3) 4d     -3.72975E-01  1.76412E+00 45.0
    243 26 24  170   2 3d5(2H3) 4d     -3.68635E-01  1.76847E+00 15.0
    244 26 24  531   6 3d5(4D5) 5p     -3.66066E-01  1.77103E+00 35.0
    245 26 24  340  12 3d5(2H3) 4d     -3.63083E-01  1.77402E+00 27.0
    246 26 24  350   7 3d5(2G5) 4d     -3.62810E-01  1.77429E+00 33.0
    247 26 24  731   2 3d5(6S5) 5f     -3.62782E-01  1.77432E+00 49.0
    248 26 24  521   5 3d5(4D5) 5p     -3.62654E-01  1.77445E+00 25.0
    249 26 24  511   7 3d5(4D5) 5p     -3.62521E-01  1.77458E+00 15.0
    250 26 24  531   7 3d5(6S5) 5f     -3.60673E-01  1.77643E+00 35.0
    251 26 24  740   1 3d5(6S5) 5g     -3.60033E-01  1.77707E+00 63.0
