 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    204 26 22  341   9 3d3(2G3) 4f     -1.40555E+00  4.03428E+00 27.0
    205 26 22  121   6 3d3(2G3) 4f     -1.40499E+00  4.03484E+00  5.0
    206 26 22  321  11 3d3(2D3) 5p     -1.40494E+00  4.03489E+00 15.0
    207 26 22  141   5 3d3(2H3) 5p     -1.40364E+00  4.03619E+00  9.0
    208 26 22  321  12 3d3(4P3) 4f     -1.40328E+00  4.03655E+00 15.0
    209 26 22  131   7 3d3(2D3) 5p     -1.40262E+00  4.03721E+00  7.0
    210 26 22  111   5 3d3(2D3) 5p     -1.40099E+00  4.03884E+00  3.0
    211 26 22  151   5 3d3(2G3) 4f     -1.40060E+00  4.03923E+00 11.0
    212 26 22  341  10 3d3(2H3) 5p     -1.39944E+00  4.04039E+00 27.0
    213 26 22  311   9 3d3(2G3) 4f     -1.39825E+00  4.04158E+00  9.0
    214 26 22  331  11 3d3(2G3) 4f     -1.39814E+00  4.04169E+00 21.0
    215 26 22  141   6 3d3(2G3) 4f     -1.39727E+00  4.04256E+00  9.0
    216 26 22  321  13 3d3(2G3) 4f     -1.39486E+00  4.04497E+00 15.0
    217 26 22  121   7 3d3(2D3) 5p     -1.39382E+00  4.04601E+00  5.0
    218 26 22  330  15 3d2 4s2         -1.38801E+00  4.05182E+00 21.0
    219 26 22  111   6 3d3(2G3) 4f     -1.38424E+00  4.05559E+00  3.0
    220 26 22  121   8 3d3(2P3) 4f     -1.36828E+00  4.07155E+00  5.0
    221 26 22  141   7 3d3(2P3) 4f     -1.36697E+00  4.07286E+00  9.0
    222 26 22  331  12 3d3(2P3) 4f     -1.36285E+00  4.07698E+00 21.0
    223 26 22  341  11 3d3(2P3) 4f     -1.36163E+00  4.07820E+00 27.0
    224 26 22  321  14 3d3(2P3) 4f     -1.35776E+00  4.08207E+00 15.0
    225 26 22  151   6 3d3(2H3) 4f     -1.35027E+00  4.08956E+00 11.0
    226 26 22  351   7 3d3(2D3) 4f     -1.34440E+00  4.09543E+00 33.0
    227 26 22  311  10 3d3(2D3) 4f     -1.34415E+00  4.09568E+00  9.0
    228 26 22  121   9 3d3(2D3) 4f     -1.34269E+00  4.09714E+00  5.0
    229 26 22  351   8 3d3(2H3) 4f     -1.34044E+00  4.09939E+00 33.0
    230 26 22  131   8 3d3(2P3) 4f     -1.33912E+00  4.10071E+00  7.0
    231 26 22  341  12 3d3(2H3) 4f     -1.33712E+00  4.10271E+00 27.0
    232 26 22  141   8 3d3(2H3) 4f     -1.33300E+00  4.10683E+00  9.0
    233 26 22  341  13 3d3(2D3) 4f     -1.32907E+00  4.11076E+00 27.0
