 2s2.2p5.(2Po<3/2>).8f    3/2[7/2]      9   21.352026     024
 2s2.2p5.(2Po<1/2>).8s    1/2[1/2]o     1   21.356813     024
 2s2.2p5.(2Po<1/2>).8s    1/2[1/2]o     3   21.3577316    024
 2s2.2p5.(2Po<3/2>).9p    3/2[1/2]      3   21.35856      024
 2s2.2p5.(2Po<3/2>).9p    3/2[5/2]      7   21.36027      024
 2s2.2p5.(2Po<3/2>).9p    3/2[5/2]      5   21.36084      024
 2s2.2p5.(2Po<3/2>).9p    3/2[3/2]      3   21.36141      024
 2s2.2p5.(2Po<3/2>).9p    3/2[3/2]      5   21.36141      024
 2s2.2p5.(2Po<3/2>).9p    3/2[1/2]      1   21.36586      024
 2s2.2p5.(2Po<3/2>).9d    3/2[7/2]o     9   21.3708888    024
 2s2.2p5.(2Po<1/2>).7d    1/2[3/2]o     5   21.382050     024
 2s2.2p5.(2Po<1/2>).7d    1/2[5/2]o     5   21.3821178    024
 2s2.2p5.(2Po<1/2>).7d    1/2[5/2]o     7   21.3821417    024
 2s2.2p5.(2Po<1/2>).7d    1/2[3/2]o     3   21.382442     024
 2s2.2p5.(2Po<1/2>).7f    1/2[5/2]      5   21.3834839    023
 2s2.2p5.(2Po<1/2>).7f    1/2[5/2]      7   21.3834839    023
 2s2.2p5.(2Po<1/2>).7f    1/2[7/2]      7   21.3834839    023
 2s2.2p5.(2Po<1/2>).7f    1/2[7/2]      9   21.3834839    023
 2s2.2p5.(2Po<1/2>).7g    1/2[9/2]o     9   21.3835980    023
 2s2.2p5.(2Po<1/2>).7g    1/2[9/2]o    11   21.3835980    023
 2s2.2p5.(2Po<1/2>).7g    1/2[7/2]o     7   21.3836031    023
 2s2.2p5.(2Po<1/2>).7g    1/2[7/2]o     9   21.3836031    023
 2s2.2p5.(2Po<3/2>).10s   3/2[3/2]o     5   21.3842125    024
 2s2.2p5.(2Po<3/2>).10s   3/2[3/2]o     3   21.385023     024
 2s2.2p5.(2Po<1/2>).8p    1/2[1/2]      3   21.39506      024
 2s2.2p5.(2Po<3/2>).9d    3/2[1/2]o     1   21.395316     024
 2s2.2p5.(2Po<3/2>).9d    3/2[1/2]o     3   21.395443     024
 2s2.2p5.(2Po<3/2>).9d    3/2[7/2]o     7   21.3957132    024
 2s2.2p5.(2Po<3/2>).9d    3/2[3/2]o     5   21.395875     024
 2s2.2p5.(2Po<3/2>).9d    3/2[3/2]o     3   21.396054     024
 2s2.2p5.(2Po<3/2>).9d    3/2[5/2]o     5   21.396215     024
 2s2.2p5.(2Po<3/2>).9d    3/2[5/2]o     7   21.396227     024
 2s2.2p5.(2Po<1/2>).8p    1/2[3/2]      5   21.39637      024
 2s2.2p5.(2Po<3/2>).9f    3/2[9/2]      9   21.396428     024
 2s2.2p5.(2Po<3/2>).9f    3/2[9/2]     11   21.396428     024
 2s2.2p5.(2Po<3/2>).9f    3/2[5/2]      5   21.39655      024
 2s2.2p5.(2Po<3/2>).9f    3/2[5/2]      7   21.39655      024
 2s2.2p5.(2Po<3/2>).9f    3/2[7/2]      7   21.39661      024
 2s2.2p5.(2Po<3/2>).9f    3/2[7/2]      9   21.39661      024
 2s2.2p5.(2Po<1/2>).8p    1/2[1/2]      1   21.39963      024
 2s2.2p5.(2Po<3/2>).10p   3/2[1/2]      3   21.40203      024
 2s2.2p5.(2Po<3/2>).10p   3/2[5/2]      7   21.40255      024
 2s2.2p5.(2Po<3/2>).10p   3/2[3/2]      3   21.40341      024
 2s2.2p5.(2Po<3/2>).10p   3/2[3/2]      5   21.40341      024
 2s2.2p5.(2Po<3/2>).10p   3/2[1/2]      1   21.40774      024
 2s2.2p5.(2Po<3/2>).10d   3/2[1/2]o     1   21.427514     024
 2s2.2p5.(2Po<3/2>).10d   3/2[1/2]o     3   21.427623     024
 2s2.2p5.(2Po<3/2>).10d   3/2[7/2]o     9   21.427832     024
 2s2.2p5.(2Po<3/2>).10d   3/2[7/2]o     7   21.427842     024
 2s2.2p5.(2Po<3/2>).10d   3/2[3/2]o     5   21.427926     024
 2s2.2p5.(2Po<3/2>).10d   3/2[3/2]o     3   21.428100     024
 2s2.2p5.(2Po<3/2>).10d   3/2[5/2]o     7   21.428217     024
 2s2.2p5.(2Po<1/2>).9s    1/2[1/2]o     1   21.430931     024
 2s2.2p5.(2Po<1/2>).9s    1/2[1/2]o     3   21.431533     024
 2s2.2p5.(2Po<3/2>).10d   3/2[5/2]o     5   21.440610     024
 2s2.2p5.(2Po<1/2>).8d    1/2[3/2]o     5   21.447662     024
 2s2.2p5.(2Po<1/2>).8d    1/2[5/2]o     5   21.4476776    024
 2s2.2p5.(2Po<1/2>).8d    1/2[5/2]o     7   21.4476874    024
 2s2.2p5.(2Po<1/2>).8d    1/2[3/2]o     3   21.447898     024
 2s2.2p5.(2Po<1/2>).8f    1/2[5/2]      5   21.448600     024
 2s2.2p5.(2Po<1/2>).8f    1/2[5/2]      7   21.448600     024
 2s2.2p5.(2Po<1/2>).8f    1/2[7/2]      7   21.448600     024
 2s2.2p5.(2Po<1/2>).8f    1/2[7/2]      9   21.448600     024
 2s2.2p5.(2Po<1/2>).9p    1/2[3/2]      5   21.45737      024
 2s2.2p5.(2Po<1/2>).9p    1/2[1/2]      1   21.46133      024
 2s2.2p5.(2Po<1/2>).10s   1/2[1/2]o     1   21.480912     024
 2s2.2p5.(2Po<1/2>).10s   1/2[1/2]o     3   21.481429     024
 2s2.2p5.(2Po<1/2>).9d    1/2[5/2]o     5   21.492593     024
 2s2.2p5.(2Po<1/2>).9d    1/2[3/2]o     5   21.492597     024
 2s2.2p5.(2Po<1/2>).9d    1/2[5/2]o     7   21.492598     024
 2s2.2p5.(2Po<1/2>).9d    1/2[3/2]o     3   21.492754     024
 2s2.2p5.(2Po<1/2>).10d   1/2[5/2]o     5   21.524705     024
 2s2.2p5.(2Po<1/2>).10d   1/2[3/2]o     5   21.524711     024
 2s2.2p5.(2Po<1/2>).10d   1/2[5/2]o     7   21.524713     024
 2s2.2p5.(2Po<1/2>).10d   1/2[3/2]o     3   21.524836     024
 2s2.2p5.(2Po<3/2>)       Limit             21.56454122   023
 2s2.2p5.(2Po<1/2>)       Limit             21.66130146   023
